watershed_group_code,ch_n,ch_latest,co_n,co_latest,sk_n,sk_latest,st_n,st_latest,ch_range,co_range,sk_range,st_range,obs_gt5_ind,mackenzie_ind,barrier_ind,manual_review_ind,remarks_br,consider_wsg
ADMS,8,2007-01-01,41,2014-09-27,33,2005-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
ALBN,119,2018-04-29,410,2019-02-22,14,2011-07-23,273,2018-05-02,{Core},{Core},{Core},{Core},t,,,,,t
ATLL,0,,0,,0,,0,,{Core},,,,,,,,,f
ATNA,9,2010-10-08,14,2010-10-20,5,2001-01-01,27,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
BABL,5,2015-09-11,111,2010-10-19,61,2014-08-24,0,,{Core},{Core},{Core},{Core},t,,Falls 17582,,,f
BABR,7,2001-08-20,30,2002-09-21,5,1998-06-01,15,2002-09-21,{Core},{Core},{Core},{Core},t,,,,,t
BARR,4,1999-03-01,4,1995-01-01,5,1999-03-01,0,,{Core},{Core},{Core},{Core},,,,,,f
BBAR,2,1994-01-01,2,1994-01-01,0,,3,1994-01-01,{Core},{Core},{Core},{Core},,,,,,f
BEAV,0,,0,,0,,0,,,,,,,t,,,,f
BELA,32,2013-09-20,116,2013-09-20,5,1999-02-01,71,2013-09-20,{Core},{Core},{Core},{Core},t,,,,,t
BIGC,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
BLAR,43,9999-11-01,3,1995-01-01,1,1994-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
BLUR,0,,0,,0,,0,,,,,,,t,,,,f
BONP,23,2000-02-01,12,2004-01-01,1,1998-01-01,20,1998-01-01,{Core},{Core},{Core},{Core},t,,,,,t
BOWR,34,2015-09-18,1,2004-01-01,7,2001-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
BRID,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Falls 20807,,,f
BRKS,24,1999-10-03,176,2016-07-23,21,1998-11-01,65,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
BULK,115,2018-08-01,263,2018-08-02,10,2002-01-01,196,2017-08-20,{Core},{Core},{Core},{Core},t,,,,,t
BULL,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
CAMB,116,2019-03-25,244,2018-09-13,12,2016-04-11,135,2017-01-25,{Core},{Core},{Core},{Core},t,,,,,t
CANO,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
CARP,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
CARR,24,2010-10-29,2,1999-02-01,3,1999-02-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
CHES,298,2017-10-21,1,1994-01-01,30,2010-06-15,0,,{Core},{Core},{Core},{Core},t,,,,,t
CHIL,2,2000-09-08,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
CHIR,1,1993-01-01,0,,21,2001-01-01,4,1998-03-01,{Core},{Core},{Core},{Core},,,,,,f
CHUK,0,,0,,0,,0,,,,,,,,,,,f
CHWK,22,2016-08-19,316,2019-04-16,24,2006-05-30,173,2019-05-08,{Core},{Core},{Core},{Core},t,,,,,t
CLAY,42,2002-02-01,267,2018-11-18,52,2002-01-01,84,2002-02-01,{Core},{Core},{Core},{Core},t,,,,,t
CLRH,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
CLWR,6,1996-09-01,5,1999-01-01,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
COAL,0,,0,,0,,0,,,,,,,t,,,,f
COLR,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
COMX,691,9999-03-01,853,9999-03-01,76,2019-03-02,189,9999-03-01,{Core},{Core},{Core},{Core},t,,,,,t
COTR,114,2015-09-11,5,2014-09-16,1,1996-06-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
COWN,28,9999-03-01,219,9999-03-01,0,,232,9999-03-01,{Core},{Core},{Core},{Core},t,,,,,t
CRKD,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
CRYL,0,,0,,0,,0,,,,,,,t,,,,f
DEAD,9,2007-08-10,9,2014-08-14,3,1998-01-01,6,1999-02-01,{Core},{Core},{Core},{Core},t,,,,,t
DEAL,0,,0,,0,,0,,,,,,,t,,,,f
DEAR,0,,0,,0,,0,,,,,,,t,,,,f
DOGC,4,1997-01-01,0,,3,1997-01-01,0,,{Core},{Core},{Core},{Core},,,,t,"Fish appear to be able to access lower 11 km of river up to Williams Lake: Sockeye, coho, (pink) noted in Williams Lake River in 1997 watershed planning profiles. All fish passage to upper watershed blocked by outlet dam on Williams Lake.",t
DRIR,0,,0,,9,1995-01-01,0,,{Core},{Core},{Core},{Core},,,,,,f
DUNC,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
DUNE,0,,0,,0,,0,,,,,,,t,,,,f
ELKR,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
EUCH,7,1998-02-01,0,,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
EUCL,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,t,"Chinook captured in Euchiniko Lake in 1985 (Dollighan, 1985) were believed to be resident, based on a 10 m waterfall 4 km upstream from the mouth of Westroad River. However, Chinook from the Westroad stock were captured in the Albion test fishery (lower Fraser River) in 2000 and 2001. Anecdotal notes from flyfishermen also state that chinook migrate from the ocean into the Westroad system. ",t
FINA,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
FINL,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
FIRE,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
FONT,0,,0,,0,,0,,,,,,,t,,,,f
FOXR,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
FRAN,19,2000-09-09,1,2018-07-26,9,2001-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
FRCN,29,2018-06-15,60,2012-10-03,29,2010-08-13,126,2017-08-26,{Core},{Core},{Core},{Core},t,,,,,t
FROG,0,,0,,0,,0,,,,,,,t,,,,f
GATA,0,,0,,0,,0,,,,,,,t,,,,f
GLAR,7,9999-10-01,0,,0,,0,,{Core},,,,t,,,,,t
GOLD,29,2012-04-20,89,2013-09-10,18,2001-02-01,107,2014-08-13,{Core},{Core},{Core},{Core},t,,,,,t
GRAI,6,1999-02-01,221,2013-10-02,28,2006-04-24,80,2000-02-01,{Core},{Core},{Core},{Core},t,,,,,t
GRNL,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Falls 24718,,,f
GUIC,8,2012-08-15,4,2004-01-01,0,,5,1998-02-01,{Core},{Core},{Core},{Core},t,,,,,t
HARR,342,2016-08-11,317,2018-12-13,66,2016-08-10,214,2019-05-15,{Core},{Core},{Core},{Core},t,,,,,t
HAYR,0,,0,,0,,0,,,,,,,t,,,,f
HERR,8,1999-09-05,0,,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
HOLB,3,1993-01-01,137,2017-04-13,0,,29,2003-10-28,{Core},{Core},{Core},{Core},t,,,,,t
HOMA,35,2001-03-01,67,2017-10-13,1,1996-04-01,3,2001-03-01,{Core},{Core},{Core},{Core},t,,,,,t
HORS,49,2017-10-19,83,2017-10-19,23,2002-01-01,2,2002-01-01,{Core},{Core},{Core},{Core},t,,,,,t
INGR,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
INKR,48,2015-06-15,50,2018-09-13,25,2008-09-20,35,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
ISKR,0,,0,,1,2017-02-18,4,2018-03-01,{Core},{Core},{Core},{Core},,,,,,f
JENR,3,9999-10-01,0,,0,,0,,{Core},,,,,,,,,f
JERV,14,2016-08-23,181,2018-09-04,0,,117,2018-10-15,{Core},{Core},{Core},{Core},t,,,,,t
KAHN,0,,0,,0,,0,,,,,,,t,,,,f
KAKC,0,,1,1995-01-01,1,1995-01-01,0,,{Core},{Core},{Core},{Core},,,,,,f
KCHL,0,,0,,0,,0,,,,,,,t,,,,f
KEEC,0,,2,1995-01-01,1,1995-01-01,0,,{Core},{Core},{Core},{Core},,,,,,f
KETL,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
KHOR,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
KHTZ,6,1997-10-01,24,2002-03-01,7,1995-01-01,6,1998-04-01,{Core},{Core},{Core},{Core},t,,,,,t
KINR,0,,6,2010-10-26,6,2026-10-10,0,,{Core},{Core},{Core},{Core},t,,,,,t
KISK,0,,0,,0,,0,,,,,,,t,,,,f
KISP,40,2006-09-19,83,2018-04-18,23,2002-03-01,65,2002-09-25,{Core},{Core},{Core},{Core},t,,,,,t
KITL,44,2008-09-10,111,2008-09-20,28,2008-08-13,4,1996-01-01,{Core},{Core},{Core},{Core},t,,,,,t
KITR,48,2019-03-01,859,2019-03-01,6,2017-05-19,98,2019-06-03,{Core},{Core},{Core},{Core},t,,,,,t
KLAR,0,,0,,0,,0,,,,,,,,,,,f
KLIN,11,2009-04-19,29,1998-05-01,9,1998-05-01,9,1998-05-01,{Core},{Core},{Core},{Core},t,,,,,t
KLUM,51,2018-05-08,246,9999-01-01,8,2008-08-28,46,2007-05-04,{Core},{Core},{Core},{Core},t,,,,,t
KNIG,15,1996-09-01,136,2018-06-12,20,2000-09-19,34,2002-02-01,{Core},{Core},{Core},{Core},t,,,,,t
KOTL,0,,1,2018-02-01,0,,0,,,,,,,,Chief Joseph Dam,,,f
KOTR,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
KSHR,12,2017-04-24,52,2017-04-23,3,2002-02-01,7,2002-03-01,{Core},{Core},{Core},{Core},t,,,,,t
KTSU,0,,27,1995-01-01,16,1995-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
KUMR,2,1998-12-01,75,2010-08-03,19,2001-01-01,3,2002-03-01,{Core},{Core},{Core},{Core},t,,,,,t
KUSR,0,,0,,0,,0,,{Core},,,,,,,,,f
LARL,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
LBIR,19,2013-09-09,29,2011-09-20,0,,6,1995-01-01,{Core},{Core},{Core},{Core},t,,,,,t
LBTN,0,,0,,0,,0,,,,,,,t,,,,f
LCHL,38,2017-05-31,3,2004-01-01,1,2000-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
LCHR,13,2000-10-07,3,2004-01-01,4,2000-01-01,34,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
LDEN,0,,0,,1,1995-01-01,5,1995-01-01,{Core},{Core},{Core},{Core},t,,,,,t
LEUT,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Kenny Dam,,,f
LFRA,502,2019-08-29,2306,2019-08-29,292,2017-08-30,1027,2019-06-08,{Core},{Core},{Core},{Core},t,,,,,t
LFRT,0,,0,,0,,0,,,,,,,t,,,,f
LHAF,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
LIAR,0,,0,,0,,0,,,,,,,t,,,,f
LILL,45,2018-05-10,176,2019-05-08,11,2017-09-06,30,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
LISR,140,2017-08-19,148,2017-10-13,24,2017-10-13,36,2018-04-01,{Core},{Core},{Core},{Core},t,,,,,t
LKEC,0,,0,,0,,0,,,,,,,t,,,,f
LKEL,5,2016-05-29,65,2018-11-06,4,2001-01-01,6,1995-08-01,{Core},{Core},{Core},{Core},t,,,,,t
LMUS,0,,0,,0,,0,,,,,,,t,,,,f
LNAR,154,2017-08-18,200,2019-01-11,1,1995-01-01,85,2002-03-01,{Core},{Core},{Core},{Core},t,,,,,t
LNIC,40,2007-01-01,36,2012-10-27,1,1994-01-01,55,1999-01-01,{Core},{Core},{Core},{Core},t,,,,,t
LNRS,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,f,"Blocked by Kenney Dam, 9 km section downstream of dam dewatered (4.5 km section immediately downstream of dam is within LNRS; remainder outside)",f
LNTH,50,2013-10-17,129,2018-09-24,21,2006-06-29,0,,{Core},{Core},{Core},{Core},t,,,,,t
LOMI,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
LPCE,0,,0,,0,,0,,,,,,,t,,,,f
LPET,0,,0,,0,,0,,,,,,,t,,,,f
LPRO,0,,0,,0,,0,,,,,,,t,,,,f
LRAN,0,,0,,0,,0,,,,,,,t,,,,f
LRDO,1,2014-03-20,48,2014-09-24,10,1996-05-01,12,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
LSAL,17,2008-07-18,0,,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
LSIK,0,,0,,0,,0,,,,,,,t,,,,f
LSKE,157,2017-11-02,311,2017-11-20,16,2012-09-08,79,2010-07-14,{Core},{Core},{Core},{Core},t,,,,,t
LSTR,7,2008-07-22,7,2008-07-23,13,2018-09-15,0,,{Core},{Core},{Core},{Core},t,,,,,t
LTRE,2,1994-01-01,0,,2,2001-01-01,0,,{Core},{Core},{Core},{Core},,,,,,f
MAHD,5,1993-12-02,0,,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
MBNK,0,,11,2017-06-14,3,2001-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
MCGR,5,2018-09-12,0,,2,1994-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
MDEA,0,,0,,0,,0,,,,,,,t,,,,f
MESC,1,9999-10-01,0,,0,,1,1994-01-01,{Core},{Core},{Core},{Core},,,,,,f
MESI,0,,0,,1,1995-01-01,0,,,,,,,t,Site C Dam,,,f
MFRA,4,2000-09-15,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
MFRT,0,,0,,0,,0,,,,,,,t,,,,f
MIDR,3,1995-01-01,0,,26,2001-01-01,0,,{Core},{Core},{Core},{Core},,,,,,f
MILL,0,,0,,0,,0,,,,,,,t,,,,f
MMUS,0,,0,,0,,0,,,,,,,t,,,,f
MORI,1,1995-01-01,109,2008-03-14,20,2006-05-04,40,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
MORK,86,2018-07-19,0,,3,2004-06-22,0,,{Core},{Core},{Core},{Core},t,,,,,t
MORR,18,2009-08-18,86,2018-10-25,6,2002-01-01,29,2017-08-20,{Core},{Core},{Core},{Core},t,,,,,t
MPRO,0,,0,,0,,0,,,,,,,t,,,,f
MSKE,16,2002-03-01,15,2002-03-01,9,2002-03-01,12,2001-03-01,{Core},{Core},{Core},{Core},t,,,,,t
MSTR,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,t,Steelhead stocks in Upper Stikine watershed,t
MURR,0,,0,,0,,0,,,,,,,t,,,,f
MURT,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Falls 19562,,,f
MUSK,2,1993-01-01,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
NAHR,7,1995-01-01,4,1995-01-01,1,1995-01-01,2,1995-01-01,{Core},{Core},{Core},{Core},t,,,,,t
NAKR,14,2011-10-12,6,2008-10-06,10,2008-10-06,0,,{Core},{Core},{Core},{Core},t,,,,,t
NARC,25,2015-08-15,1,1997-01-01,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
NASC,4,2018-02-25,68,2010-08-28,7,1995-01-01,5,1995-01-01,{Core},{Core},{Core},{Core},t,,,,,t
NASR,12,2000-10-05,14,2000-09-29,5,2001-01-01,22,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
NATR,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
NAZR,31,1998-10-01,0,,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
NBNK,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
NECL,2,2004-01-01,60,2010-08-30,14,2010-08-07,1,1997-11-01,{Core},{Core},{Core},{Core},t,,,,,t
NECR,288,2017-07-19,1,2010-07-15,9,2010-07-15,0,,{Core},{Core},{Core},{Core},t,,,,,t
NEVI,0,,74,2015-09-15,11,1996-08-21,129,2018-05-16,{Core},{Core},{Core},{Core},t,,,,,t
NICL,8,2004-01-01,6,1998-01-01,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
NIEL,18,1996-05-01,112,2014-07-10,20,2001-09-16,33,1999-04-01,{Core},{Core},{Core},{Core},t,,,,,t
NIMP,13,2017-08-02,445,2017-08-11,31,2012-05-22,536,2019-05-07,{Core},{Core},{Core},{Core},t,,,,,t
OKAN,1,1998-04-01,0,,16,2015-10-24,0,,{Peripheral},,{Core},,,,,,,f
OSPK,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
OWIK,60,2007-08-24,147,2018-05-24,112,2018-05-24,56,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
PARA,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
PARK,9,2015-10-29,246,9999-03-01,1,1993-01-01,153,9999-03-01,{Core},{Core},{Core},{Core},t,,,,,t
PARS,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
PCEA,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
PINE,0,,0,,0,,0,,,,,,,t,,,,f
PITR,0,,0,,0,,0,,,,,,,,,,,f
PORI,1,2000-12-01,49,2008-08-05,0,,7,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
QUES,94,2016-08-26,34,2016-09-06,25,2001-01-01,4,1998-01-01,{Core},{Core},{Core},{Core},t,,,,,t
REVL,2,1999-01-01,2,1999-01-01,0,,0,,,,,,,,Chief Joseph Dam,,,f
SAHD,0,,0,,0,,0,,,,,,,t,,,,f
SAHT,0,,0,,0,,0,,,,,,,t,,,,f
SAJR,0,,1,1997-01-01,0,,0,,{Core},{Core},{Core},{Core},,,,t,"Fish appear to be able to access lower 11 km of river up to Williams Lake: Sockeye, coho, (pink) noted in Williams Lake River in 1997 watershed planning profiles. All fish passage to upper watershed blocked by outlet dam on Williams Lake.",t
SALM,8,9999-03-01,151,9999-03-01,2,2002-03-01,64,9999-03-01,{Core},{Core},{Core},{Core},t,,,,,t
SALR,5,1998-07-07,0,,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
SANJ,39,2016-09-28,229,2018-08-01,6,2014-09-04,213,2014-09-25,{Core},{Core},{Core},{Core},t,,,,,t
SETN,173,2016-04-13,242,2016-04-13,102,2016-04-14,187,2015-11-16,{Core},{Core},{Core},{Core},t,,,,,t
SEYM,6,1995-01-01,80,2016-03-01,2,1995-01-01,12,1999-01-01,{Core},{Core},{Core},{Core},t,,,,,t
SHEK,0,,0,,0,,0,,,,,,,t,,,,f
SHER,9,1998-03-01,2,1994-01-01,14,1998-03-01,10,1996-01-01,{Core},{Core},{Core},{Core},t,,,,,t
SHUL,86,2016-08-11,86,2014-08-20,131,2012-06-20,3,1997-01-01,{Core},{Core},{Core},{Core},t,,,,,t
SIML,0,,0,,0,,0,,,,,,,,,,,f
SKGT,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
SLOC,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
SMAR,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
SMOK,0,,0,,0,,0,,,,,,,t,,,,f
SPAT,0,,0,,0,,0,,,,,,,,,,,f
SQAM,137,2018-11-06,1659,2019-08-12,15,2015-04-01,805,2080-03-01,{Core},{Core},{Core},{Core},t,,,,,t
STHM,22,2016-07-27,15,2016-11-23,6,2000-01-01,1,1998-01-01,{Core},{Core},{Core},{Core},t,,,,,t
STIR,6,9999-10-01,6,2007-06-13,7,2018-09-15,1,1991-01-01,{Core},{Core},{Core},{Core},t,,,,,t
STUL,5,1995-01-01,1,1997-09-05,11,2001-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
STUR,26,2000-01-01,1,2004-01-01,17,2000-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
SUST,34,2009-08-20,28,2007-08-29,9,2001-01-01,22,1999-09-01,{Core},{Core},{Core},{Core},t,,Falls 16378,,,f
SWIR,2,2011-08-24,0,,0,,0,,{Core},,,,,,,,,f
TABR,51,2017-10-01,0,,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
TAHR,1,2003-01-01,0,,65,2014-12-09,11,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
TAHS,27,2011-10-06,106,2018-08-14,35,2011-09-30,32,2011-10-02,{Core},{Core},{Core},{Core},t,,,,,t
TAKL,1,1994-01-01,0,,24,1999-08-19,0,,{Core},{Core},{Core},{Core},,,,,,f
TASR,2,1996-04-01,0,,4,2001-01-01,2,1996-05-01,{Core},{Core},{Core},{Core},,,,,,f
TATR,5,9999-10-01,4,2017-08-29,6,1994-01-01,1,1994-01-01,{Core},{Core},{Core},{Core},t,,,,,t
TAYR,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
TESR,14,2017-06-07,0,,0,,0,,{Core},,,,t,,,,,t
THOM,29,2011-10-26,20,2016-07-25,6,2000-01-01,33,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
TOAD,0,,0,,0,,0,,,,,,,t,,,,f
TOBA,198,2016-05-26,352,2018-11-13,88,2016-05-14,51,2016-05-07,{Core},{Core},{Core},{Core},t,,,,,t
TOOD,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
TSAY,23,2016-03-09,127,2017-07-23,4,2015-06-20,14,2003-10-16,{Core},{Core},{Core},{Core},t,,,,,t
TSEA,0,,0,,0,,0,,,,,,,t,,,,f
TSIT,9,2016-09-24,251,2017-12-07,3,1994-01-01,58,2007-09-27,{Core},{Core},{Core},{Core},t,,,,,t
TURN,0,,0,,0,,0,,,,,,,t,,,,f
TUTR,0,,0,,0,,1,1991-01-01,{Core},,,,,,,t,This is a remote and under-studied watershed. Steelhead records are old and could not be verified. Keep it in for now.,t
TUYR,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,f,Records appear to be for enhancement ops/smolt outmigration planting. Blockage near mouth of Tuya River blocks upstream fish passage,f
TWAC,13,2016-10-21,3,2013-10-21,1,1997-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
UARL,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
UBIR,18,2017-10-11,33,2018-09-19,0,,1,1994-01-01,{Core},{Core},{Core},{Core},t,,,,,t
UBTN,0,,0,,0,,0,,,,,,,t,,,,f
UCHR,12,2000-09-18,0,,0,,8,1996-05-01,{Core},{Core},{Core},{Core},t,,,,,t
UDEN,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Falls 24918,,,f
UEUT,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Kenny Dam,,,f
UFRA,25,2017-07-12,0,,2,1994-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
UFRT,0,,0,,0,,0,,,,,,,t,,,,f
UHAF,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
UISR,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Forrest Kerr Generating Station,,,f
UJER,3,1996-09-10,0,,0,,0,,{Core},,,,,,,,,f
UKEC,0,,0,,0,,0,,,,,,,t,,,,f
ULRD,0,,0,,0,,0,,,,,,,t,,,,f
UMUS,0,,0,,0,,0,,,,,,,t,,,,f
UNAR,6,1994-01-01,1,1994-01-01,0,,13,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
UNRS,0,,1,2003-10-15,0,,0,,{Core},{Core},{Core},{Core},,,Kenny Dam,,,f
UNTH,47,2015-10-15,157,2017-11-10,2,1997-09-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
UNUR,2,1995-09-01,13,2018-09-13,2,1995-09-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
UOMI,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
UPCE,0,,0,,0,,0,,,,,,,t,,,,f
UPET,0,,0,,0,,0,,,,,,,t,,,,f
UPRO,0,,0,,0,,0,,,,,,,t,,,,f
USHU,65,2001-10-19,103,2018-08-28,25,2001-03-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
USIK,0,,0,,0,,0,,,,,,,t,,,,f
USKE,1,1996-01-01,0,,0,,3,1997-01-01,{Core},{Core},{Core},{Core},,,Falls 16378,,,f
USTK,0,,0,,1,1998-04-01,11,2000-01-01,,,,,t,,,,,t
UTRE,0,,0,,7,2000-12-01,0,,{Core},{Core},{Core},{Core},,,,,,f
VICT,0,,92,2019-08-15,0,,25,2002-10-09,{Core},{Core},{Core},{Core},t,,,,,t
WILL,15,2010-10-26,1,1995-03-01,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
WORC,18,2018-08-14,122,2018-08-15,4,2002-03-01,13,2016-10-20,{Core},{Core},{Core},{Core},t,,,,,t
ZYMO,14,2018-06-07,68,2018-06-07,3,1998-06-01,23,2001-03-01,{Core},{Core},{Core},{Core},t,,,,,t
